amount,change,price,time,type,volume,xtim
23985.0,--,26.65,2016-11-18 14:32:42,buy,9.0,2016-11-18 14:32:42
440178.0,--,26.65,2016-11-18 14:32:33,sell,165.0,2016-11-18 14:32:33
26650.0,--,26.65,2016-11-18 14:32:21,sell,10.0,2016-11-18 14:32:21
2665.0,--,26.65,2016-11-18 14:32:09,sell,1.0,2016-11-18 14:32:09
2665.0,-0.01,26.65,2016-11-18 14:32:00,sell,1.0,2016-11-18 14:32:00
7998.0,--,26.66,2016-11-18 14:31:51,buy,3.0,2016-11-18 14:31:51
98642.0,0.01,26.66,2016-11-18 14:31:48,buy,37.0,2016-11-18 14:31:48
5330.0,--,26.65,2016-11-18 14:31:45,sell,2.0,2016-11-18 14:31:45
13325.0,-0.01,26.65,2016-11-18 14:31:00,sell,5.0,2016-11-18 14:31:00
63984.0,-0.02,26.66,2016-11-18 14:30:39,sell,24.0,2016-11-18 14:30:39
2668.0,--,26.68,2016-11-18 14:30:33,buy,1.0,2016-11-18 14:30:33
160080.0,0.02,26.68,2016-11-18 14:30:30,buy,60.0,2016-11-18 14:30:30
2666.0,--,26.66,2016-11-18 14:30:24,sell,1.0,2016-11-18 14:30:24
23994.0,0.01,26.66,2016-11-18 14:30:18,buy,9.0,2016-11-18 14:30:18
2665.0,-0.01,26.65,2016-11-18 14:30:12,sell,1.0,2016-11-18 14:30:12
53320.0,--,26.66,2016-11-18 14:30:03,buy,20.0,2016-11-18 14:30:03
10664.0,0.01,26.66,2016-11-18 14:29:57,buy,4.0,2016-11-18 14:29:57
13325.0,--,26.65,2016-11-18 14:29:45,sell,5.0,2016-11-18 14:29:45
13325.0,--,26.65,2016-11-18 14:29:42,sell,5.0,2016-11-18 14:29:42
2665.0,--,26.65,2016-11-18 14:29:36,sell,1.0,2016-11-18 14:29:36
239396.0,--,26.65,2016-11-18 14:28:39,buy,89.0,2016-11-18 14:28:39
2665.0,--,26.65,2016-11-18 14:28:33,buy,1.0,2016-11-18 14:28:33
2665.0,--,26.65,2016-11-18 14:28:24,buy,1.0,2016-11-18 14:28:24
263835.0,--,26.65,2016-11-18 14:28:21,buy,99.0,2016-11-18 14:28:21
47970.0,0.01,26.65,2016-11-18 14:28:18,buy,18.0,2016-11-18 14:28:18
7992.0,-0.01,26.64,2016-11-18 14:28:12,sell,3.0,2016-11-18 14:28:12
5330.0,--,26.65,2016-11-18 14:28:00,buy,2.0,2016-11-18 14:28:00
7995.0,--,26.65,2016-11-18 14:27:48,buy,3.0,2016-11-18 14:27:48
606580.0,--,26.65,2016-11-18 14:27:45,sell,227.0,2016-11-18 14:27:45
53300.0,-0.01,26.65,2016-11-18 14:27:42,sell,20.0,2016-11-18 14:27:42
2666.0,0.01,26.66,2016-11-18 14:27:36,buy,1.0,2016-11-18 14:27:36
10660.0,-0.01,26.65,2016-11-18 14:27:12,sell,4.0,2016-11-18 14:27:12
5332.0,-0.01,26.66,2016-11-18 14:26:57,norm,2.0,2016-11-18 14:26:57
2667.0,0.02,26.67,2016-11-18 14:26:30,buy,1.0,2016-11-18 14:26:30
1008409.0,--,26.65,2016-11-18 14:26:27,buy,378.0,2016-11-18 14:26:27
2665.0,--,26.65,2016-11-18 14:26:21,buy,1.0,2016-11-18 14:26:21
668915.0,--,26.65,2016-11-18 14:26:15,buy,251.0,2016-11-18 14:26:15
79950.0,--,26.65,2016-11-18 14:26:03,buy,30.0,2016-11-18 14:26:03
